"","lon","lat"
"231",15.419634,47.013623
"232",15.434382,47.08307
"233",15.430414,46.983071
"234",16.390933,48.198538
"235",15.460722,47.067119
"236",15.426037,47.06724
"237",15.435077,47.072103
"238",15.425597,47.075005
"239",15.423417,47.082936
"240",16.119072,48.189982
"241",16.421273,48.253338
"242",16.323916,48.222206
"243",15.447947,47.073642
"244",16.4041,48.172146
"245",15.437297,47.075676
"246",16.341668,48.222297
"249",16.341668,48.222305
"250",15.437785,47.076041
"251",14.024159,48.165511
"252",15.440579,47.083662
"253",15.445617,47.054294
"254",15.403858,47.042295
"255",15.415518,47.069354
"256",15.51722,47.066169
"257",15.56207,46.790429
"258",16.263328,48.21572
"259",15.457273,47.072821
"260",15.469677,47.061599
"261",15.444051,47.084151
"262",15.423799,47.113879
"282",13.848957,46.602123
"283",14.245833,46.625278
"284",15.427256,47.043026
"285",15.420241,47.048813
"286",15.469926,47.062248
"287",15.452806,47.062485
"288",15.450972,47.063496
"289",15.439999,47.067638
"290",15.439873,47.067706
"291",15.434167,47.072222
"292",15.447184,47.074017
"293",15.433611,47.074167
"294",15.452222,47.075
"295",15.437222,47.075833
"296",15.453597,47.081106
"297",15.434813,47.083092
"298",15.434387,47.083164
"299",15.438654,47.084881
"300",15.411798,47.089489
"301",16.35567,48.068228
"302",16.244127,48.135342
"303",16.243391,48.136047
"304",16.244394,48.137325
"305",16.43,48.14
"321",16.396428,48.142331
"322",16.269033,48.143133
"323",16.412055,48.168778
"324",16.413301,48.180264
"325",16.364167,48.195278
"326",16.365,48.198056
"327",16.257778,48.200556
"328",16.359167,48.2025
"329",16.35453,48.211392
"330",16.361256,48.213575
"331",16.240292,48.220831
"333",16.358536,48.229683
"334",16.379421,48.23849
"335",4.46267,50.76451
"336",4.27809,50.8064
"337",4.72412,50.8794
"338",3.21628,50.91077
"339",4.38058,50.93591
"340",4.38058,50.93593
"341",4.38067,50.93594
"342",3.53268,50.98976
"343",3.76799,51.02541
"344",3.7682,51.02543
"345",3.76821,51.02543
"346",3.76826,51.02544
"347",3.76813,51.02545
"348",3.76827,51.02545
"349",3.76826,51.02546
"350",3.75739,51.08537
"351",4.39622,51.15535
"352",4.39617,51.15536
"353",5.11152,51.20714
"354",5.11172,51.20714
"355",5.11168,51.20717
"356",4.39615,51.15536
"357",4.48967,50.45631
"358",3.19661,50.72879
"359",3.71741,51.03846
"360",4.1485,51.14486
"361",4.50733,50.78653
"362",4.372,50.85152
"363",3.78081,51.03774
"364",3.74579,51.06227
"365",4.3799,51.1506
"366",4.97158,49.91659
"367",3.25302,50.82406
"368",4.70008,50.87364
"369",4.71933,50.88128
"370",4.38065,50.93594
"371",4.63955,50.97721
"372",4.45845,50.98054
"373",4.47572,51.01612
"374",4.4757,51.01618
"376",4.52963,51.06501
"377",4.52952,51.06503
"378",4.52514,51.06508
"379",4.52518,51.0652
"380",5.65102,51.06778
"381",3.78069,51.0745
"382",3.4849,51.12878
"383",3.23052,51.2127
"384",3.26904,50.8589
"385",3.21456,51.23988
"386",4.43413,51.22696
"387",4.38576,50.83251
"388",27.517928,42.55631
"389",27.466686,42.443696
"390",23.332363,42.695778
"391",23.289386,42.715528
"393",24.737908,42.124876
"394",23.289517,42.715399
"396",23.566886,42.768115
"397",25.133725,41.93029
"398",27.483144,42.506867
"399",23.273452,42.664761
"400",24.728983,42.136503
"401",25.564792,41.926785
"402",27.475294,42.496748
"403",23.267363,42.662361
"404",23.55288,43.210238
"412",23.326389,42.671667
"413",23.3275,42.6725
"414",23.336667,42.675833
"415",23.330086,42.676159
"416",23.315833,42.676944
"417",23.317339,42.677478
"418",23.318611,42.679444
"422",-79.48136,43.73165
"423",-75.776551,45.373622
"424",-75.680891,45.42063
"425",-75.688213,45.422608
"426",-75.674159,45.428692
"427",-82.826214,42.032609
"428",-81.299095,42.954168
"429",-81.291885,42.99549
"430",-81.276465,43.033674
"431",-81.271716,43.039335
"432",-81.271709,43.039336
"433",-80.098996,43.200117
"434",-79.93,43.659508
"435",-79.930001,43.659528
"436",-78.331543,44.300676
"437",-77.31366,44.47759
"438",-77.31355,44.47814
"439",-121.940237,49.105287
"440",-81.260952,42.990749
"441",-79.948891,43.209446
"442",-80.028525,45.360545
"443",-80.33864,42.703818
"444",-79.947502,43.244571
"445",-79.47905,43.645953
"446",-79.384402,43.778808
"447",-79.714363,43.868195
"448",-75.773497,45.383597
"449",-75.703616,45.392898
"450",-75.759138,45.401383
"451",-75.673661,45.423178
"452",-123.141421,49.205878
"453",-122.73832,49.285508
"454",-82.880783,42.290792
"455",-82.207695,42.41137
"456",-82.368778,42.972438
"457",-81.268292,43.010393
"458",-79.407605,43.158095
"459",-79.766138,43.358192
"460",-79.76442,43.36902
"461",-80.199927,43.49558
"462",-79.443545,43.640474
"463",-79.46775,43.644322
"464",-79.482012,43.646238
"465",-79.924747,43.64876
"466",-79.411653,43.830575
"467",-79.411688,43.83058
"468",-79.43113,43.839203
"469",-79.431275,43.839458
"470",-77.461756,44.149853
"471",-75.846847,45.248828
"472",-123.692532,48.777216
"473",-122.622038,49.16545
"474",-122.637833,49.176513
"475",-121.950754,49.183153
"476",-122.780312,49.229053
"477",-122.899134,49.232002
"478",-83.095967,42.1043
"479",-82.882485,42.283254
"480",-81.203375,42.798635
"481",-81.247712,42.961767
"482",-79.891803,43.233292
"483",-80.005661,43.264963
"484",-79.797455,43.406197
"485",-79.475728,43.664456
"486",-122.300299,49.136314
"487",-122.791572,49.294675
"488",-97.162043,49.869231
"489",-81.257933,42.966113
"490",-79.237463,43.163749
"491",-79.906185,43.262273
"492",-79.8918,43.289342
"493",-79.833645,43.374408
"494",-80.540615,43.462936
"495",-75.723292,45.380341
"496",-75.724739,45.400687
"497",-122.622177,49.164083
"498",-122.622081,49.164101
"499",-122.763733,49.274467
"500",-82.143399,42.410617
"501",-81.332594,42.986615
"502",-79.211533,43.155456
"503",-79.92163,43.198338
"504",-79.77482,43.354247
"505",-80.584862,43.467526
"506",-79.71743,43.478005
"507",-80.224185,43.548387
"508",-79.38978,43.640887
"509",-79.406083,43.662637
"510",-79.285645,43.6865
"511",-77.741638,44.009844
"512",-76.966569,44.225954
"513",-75.690778,45.43408
"514",-75.69552,45.436584
"515",-75.794726,45.54267
"516",-122.3629,49.051689
"517",-122.91711,49.216262
"518",-122.633537,49.225513
"519",-83.087588,42.23496
"520",-79.106175,43.15793
"521",-79.815072,43.393303
"522",-77.688115,43.994709
"523",-75.603367,45.453653
"524",-122.642122,49.171318
"525",-122.958091,49.286461
"526",-123.081322,49.35068
"527",-82.976799,42.258072
"528",-80.585121,42.814172
"529",-79.731033,43.143936
"530",-79.840162,43.36237
"531",-79.764303,43.369086
"532",-80.318231,43.442358
